№;Дата и время;Секунда;Микросекунда
260;2023-05-12 21:04:14.448447;14;448447
261;2023-05-12 21:04:14.463765;14;463765
262;2023-05-12 21:04:14.479127;14;479127
263;2023-05-12 21:04:14.494749;14;494749
264;2023-05-12 21:04:14.510047;14;510047
265;2023-05-12 21:04:14.525245;14;525245
266;2023-05-12 21:04:14.541099;14;541099
267;2023-05-12 21:04:14.556788;14;556788
268;2023-05-12 21:04:14.572269;14;572269
269;2023-05-12 21:04:14.587150;14;587150
270;2023-05-12 21:04:14.602779;14;602779
271;2023-05-12 21:04:14.618203;14;618203
272;2023-05-12 21:04:14.633271;14;633271
273;2023-05-12 21:04:14.648600;14;648600
274;2023-05-12 21:04:14.664355;14;664355
275;2023-05-12 21:04:14.679774;14;679774
276;2023-05-12 21:04:14.695893;14;695893
277;2023-05-12 21:04:14.711271;14;711271
278;2023-05-12 21:04:14.726853;14;726853
279;2023-05-12 21:04:14.742354;14;742354
280;2023-05-12 21:04:14.757551;14;757551
281;2023-05-12 21:04:14.773431;14;773431
282;2023-05-12 21:04:14.788768;14;788768
283;2023-05-12 21:04:14.803924;14;803924
284;2023-05-12 21:04:14.819522;14;819522
285;2023-05-12 21:04:14.835048;14;835048
286;2023-05-12 21:04:14.850453;14;850453
287;2023-05-12 21:04:14.866325;14;866325
288;2023-05-12 21:04:14.882075;14;882075
289;2023-05-12 21:04:14.897349;14;897349
290;2023-05-12 21:04:14.913203;14;913203
291;2023-05-12 21:04:14.928551;14;928551
292;2023-05-12 21:04:14.943844;14;943844
293;2023-05-12 21:04:14.959723;14;959723
294;2023-05-12 21:04:14.974655;14;974655
295;2023-05-12 21:04:14.989399;14;989399
296;2023-05-12 21:04:15.004763;15;4763
297;2023-05-12 21:04:15.019887;15;19887
298;2023-05-12 21:04:15.035177;15;35177
299;2023-05-12 21:04:15.050412;15;50412
300;2023-05-12 21:04:15.065081;15;65081
